 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
5000;ICE MINT;м€та;¬кус свежей м€ты;;3;ICE MINT м€та  AYAX;AYAX;;;
5001;BUBBLEGUM FRUITS;жевательна€ резинка фрукты;—ладка€ фруктова€ жвачка - насыщенна€, €рка€ и вкусна€;;3;BUBBLEGUM FRUITS жевательна€ резинка фрукты  AYAX;AYAX;;;
5002;VANILLA ICE CREAM;мороженое ваниль;¬кус сливочного молочного мороженного с ванилью;;3;VANILLA ICE CREAM мороженое ваниль  AYAX;AYAX;;;
5003;NUT VANILLA;ваниль орехи;яркий вкус ванили с ореховыми нотками;;3;NUT VANILLA ваниль орехи  AYAX;AYAX;;;
5004;HAWAII DRINK;;¬кус особого пунша из множества тропических фруктов в гавайском стиле;;3;HAWAII DRINK   AYAX;AYAX;;;
5005;STRAWBERRY;клубника;—ладкий клубничный вкус порадует любителей насыщенных €годных ароматов;;3;STRAWBERRY клубника  AYAX;AYAX;;;
5006;COLA;кола карамель;—ладкий вкус легендарного напитка, в меру карамельный, с легким пр€ным послевкусием;;3;COLA кола карамель  AYAX;AYAX;;;
5007;MANGO;манго;¬кус сладкого сочного манго с небольшой трав€нистой ноткой;;3;MANGO манго  AYAX;AYAX;;;
5008;FOREST BERRIES;лесные €годы;¬олшебный микс из лесных €год;;3;FOREST BERRIES лесные €годы  AYAX;AYAX;;;
5009;GRAPEFRUIT TONIC;грейпфрут;—вежий, терпкий и сладкий аромат грейпфрута;;3;GRAPEFRUIT TONIC грейпфрут  AYAX;AYAX;;;
