 1-Taste_ID,2-Name_Taste,3-Taste_Rus,4-Description_Taste,5-Image_Taste,6-Strength,7-Search_Field,16-Brand-Taste,17-Line_Brand-Taste,Created,Updated
12000,Asian Mix,,,,3,,,,,
12001,Banana Daiquiri,,,,3,,,,,
12002,Belgian Cider,,,,3,,,,,
12003,Black Currant,,,,3,,,,,
12004,Blooming Garden,,,,3,,,,,
12005,Blueberry Mint,,,,3,,,,,
12006,Cactus Mix,,,,3,,,,,
12007,Caramel Amaretto,,,,3,,,,,
12008,Caramel Cookies,,,,3,,,,,
12009,Cherry,,,,3,,,,,
12010,Cherry Cola,,,,3,,,,,
12011,Chinese Melon,,,,3,,,,,
12012,Cinnamon Roll,,,,3,,,,,
12013,Cranberries in powdered sugar,,,,3,,,,,
12014,Creme de Coco,,,,3,,,,,
12015,Double Apple,,,,3,,,,,
12016,Elderberry,,,,3,,,,,
12017,Eucalyptus,,,,3,,,,,
12018,Feijoa,,,,3,,,,,
12019,Flames,,,,3,,,,,
12020,Frosty Mint,,,,3,,,,,
12021,Grenadine Drops,,,,3,,,,,
12022,Guava,,,,3,,,,,
12023,Honey,,,,3,,,,,
12024,Ice Cream Cigar,,,,3,,,,,
12025,Ice Grape,,,,3,,,,,
12026,Ice Mango,,,,3,,,,,
12027,Indian Mango,,,,3,,,,,
12028,Jackfruit,,,,3,,,,,
12029,Jasmine Tea,,,,3,,,,,
12030,Juicy Peach,,,,3,,,,,
12031,Kiwi,,,,3,,,,,
12032,Lemon drop,,,,3,,,,,
12033,Lemongrass,,,,3,,,,,
12034,Lemon-Lime,,,,3,,,,,
12035,Lychee bisque,,,,3,,,,,
12036,Melissa and berries,,,,3,,,,,
12037,Milk Oolong,,,,3,,,,,
12038,Mumbai Tea,,,,3,,,,,
12039,Northern Berries,,,,3,,,,,
12040,Olympic Gummy Bear,,,,3,,,,,
12041,Passion Fruit,,,,3,,,,,
12042,Pomegranate,,,,3,,,,,
12043,Pomelo,,,,3,,,,,
12044,Pumpkin Pie,,,,3,,,,,
12045,Red Currant,,,,3,,,,,
12046,Red Sorbet,,,,3,,,,,
12047,Rhubarb dessert,,,,3,,,,,
12048,Rum Lady Muff,,,,3,,,,,
12049,Strawberry Mojito,,,,3,,,,,
12050,Summer Lemonade,,,,3,,,,,
12051,Watermelon Gum,,,,3,,,,,
12052,White Apple,,,,3,,,,,
12053,White Wine,,,,3,,,,,
12054,Asian Mix,,,,5,,,,,
12055,Banana Daiquiri,,,,5,,,,,
12056,Belgian Cider,,,,5,,,,,
12057,Black Currant,,,,5,,,,,
12058,Blueberry Mint,,,,5,,,,,
12059,Cactus Mix,,,,5,,,,,
12060,Caramel Amaretto,,,,5,,,,,
12061,Caramel Cookies,,,,5,,,,,
12062,Cherry,,,,5,,,,,
12063,Cherry Cola,,,,5,,,,,
12064,Chinese Melon,,,,5,,,,,
12065,Cranberries in powdered sugar,,,,5,,,,,
12066,Creme de Coco,,,,5,,,,,
12067,Elderberry,,,,5,,,,,
12068,Feijoa,,,,5,,,,,
12069,Grenadine Drops,,,,5,,,,,
12070,Ice Cream Cigar,,,,5,,,,,
12071,Ice Grape,,,,5,,,,,
12072,Ice Mango,,,,5,,,,,
12073,Indian Mango,,,,5,,,,,
12074,Jackfruit,,,,5,,,,,
12075,Juicy Peach,,,,5,,,,,
12076,Kiwi,,,,5,,,,,
12077,Lemon drop,,,,5,,,,,
12078,Lemongrass,,,,5,,,,,
12079,Lemon-Lime,,,,5,,,,,
12080,Melissa and berries,,,,5,,,,,
12081,Milk Oolong,,,,5,,,,,
12082,Mumbai Tea,,,,5,,,,,
12083,Northern Berries,,,,5,,,,,
12084,Olympic Gummy Bear,,,,5,,,,,
12085,Passion Fruit,,,,5,,,,,
12086,Pomegranate,,,,5,,,,,
12087,Pomelo,,,,5,,,,,
12088,Pumpkin Pie,,,,5,,,,,
12089,Red Currant,,,,5,,,,,
12090,Rhubarb dessert,,,,5,,,,,
12091,Rum Lady Muff,,,,5,,,,,
12092,Strawberry Mojito,,,,5,,,,,
12093,Summer Lemonade,,,,5,,,,,
12094,Watermelon Gum,,,,5,,,,,
12095,White Wine,,,,5,,,,,
